station_name,station_link,type,bus_number
Imperial Samrong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Imperial%20Samrong,outbound,45
Ramkhamhaeng University 2,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ramkhamhaeng%20University%202,inbound,46
"BITEC, Bang Na, Entrance 1 and 2",http://www.transitbangkok.com/stations/Bangkok%20Bus/BITEC%2C%20Bang%20Na%2C%20Entrance%201%20and%202,inbound,46
Udomsuk - Sukhumvit Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udomsuk%20-%20Sukhumvit%20Intersection,inbound,46
Udom Suk Post Office,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udom%20Suk%20Post%20Office,inbound,46
Punnawithi,http://www.transitbangkok.com/stations/BTS/Punnawithi,inbound,46
Bang Chak,http://www.transitbangkok.com/stations/BTS/Bang%20Chak,inbound,46
On Nut,http://www.transitbangkok.com/stations/BTS/On%20Nut,inbound,46
"Bangkok University, City Campus",http://www.transitbangkok.com/stations/Bangkok%20Bus/Bangkok%20University%2C%20City%20Campus,inbound,46
Klong Toei market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Klong%20Toei%20market,inbound,46
Klong Toei,http://www.transitbangkok.com/stations/Mrt/Klong%20Toei,inbound,46
Lumphini,http://www.transitbangkok.com/stations/Mrt/Lumphini,inbound,46
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,inbound,46
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,inbound,46
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,inbound,46
Hua Lamphong,http://www.transitbangkok.com/stations/Mrt/Hua%20Lamphong,inbound,46
Hua Lamphong,http://www.transitbangkok.com/stations/Mrt/Hua%20Lamphong,outbound,46
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,outbound,46
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,outbound,46
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,outbound,46
Lumphini,http://www.transitbangkok.com/stations/Mrt/Lumphini,outbound,46
Klong Toei,http://www.transitbangkok.com/stations/Mrt/Klong%20Toei,outbound,46
Klong Toei market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Klong%20Toei%20market,outbound,46
"Bangkok University, City Campus",http://www.transitbangkok.com/stations/Bangkok%20Bus/Bangkok%20University%2C%20City%20Campus,outbound,46
On Nut,http://www.transitbangkok.com/stations/BTS/On%20Nut,outbound,46
Punnawithi,http://www.transitbangkok.com/stations/BTS/Punnawithi,outbound,46
